pygame 2.0.2 (SDL 2.0.16, Python 3.9.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
{'algo': 'ppo',
 'device': 'cuda',
 'episode_length': 500,
 'game_name': 'olympics-running',
 'load_episode': 900,
 'load_model': False,
 'load_run': 2,
 'map': 1,
 'max_episodes': 1500,
 'render': False,
 'save_interval': 100,
 'seed': 1,
 'shuffle_map': False}
Total agent number: 2
Agent control by the actor: 1
Game board width: 700
Game board height: 700
action dimension: [[Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)], [Box(-100.0, 200.0, (1,), float32), Box(-30.0, 30.0, (1,), float32)]]
observation dimension: 625
store in /lustre/home/acct-stu/stu110/Olympics/rl_trainer/models/olympics-running/ppo/run1
Episode:  1 controlled agent:  1 ; Episode Return:  -75.0 ; win rate(controlled & opponent):  0.00 1.00 ; Trained episode: 0
Episode:  2 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.00 0.50 ; Trained episode: 0
Episode:  3 controlled agent:  1 ; Episode Return:  -172.0 ; win rate(controlled & opponent):  0.33 0.33 ; Trained episode: 0
Episode:  4 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.25 0.25 ; Trained episode: 1
Episode:  5 controlled agent:  1 ; Episode Return:  -328.0 ; win rate(controlled & opponent):  0.40 0.20 ; Trained episode: 1
Episode:  6 controlled agent:  1 ; Episode Return:  -133.0 ; win rate(controlled & opponent):  0.33 0.33 ; Trained episode: 2
Episode:  7 controlled agent:  1 ; Episode Return:  -58.0 ; win rate(controlled & opponent):  0.43 0.29 ; Trained episode: 2
Episode:  8 controlled agent:  1 ; Episode Return:  -92.0 ; win rate(controlled & opponent):  0.38 0.38 ; Trained episode: 3
Episode:  9 controlled agent:  1 ; Episode Return:  -73.0 ; win rate(controlled & opponent):  0.44 0.33 ; Trained episode: 3
Episode:  10 controlled agent:  1 ; Episode Return:  -187.0 ; win rate(controlled & opponent):  0.50 0.30 ; Trained episode: 4
Episode:  11 controlled agent:  1 ; Episode Return:  -323.0 ; win rate(controlled & opponent):  0.55 0.27 ; Trained episode: 5
Episode:  12 controlled agent:  1 ; Episode Return:  4.0 ; win rate(controlled & opponent):  0.58 0.25 ; Trained episode: 6
Episode:  13 controlled agent:  1 ; Episode Return:  -499.0 ; win rate(controlled & opponent):  0.54 0.23 ; Trained episode: 7
Episode:  14 controlled agent:  1 ; Episode Return:  -37.0 ; win rate(controlled & opponent):  0.57 0.21 ; Trained episode: 7
Episode:  15 controlled agent:  1 ; Episode Return:  -167.0 ; win rate(controlled & opponent):  0.53 0.27 ; Trained episode: 8
Episode:  16 controlled agent:  1 ; Episode Return:  -156.0 ; win rate(controlled & opponent):  0.56 0.25 ; Trained episode: 8
Episode:  17 controlled agent:  1 ; Episode Return:  18.0 ; win rate(controlled & opponent):  0.59 0.24 ; Trained episode: 9
Episode:  18 controlled agent:  1 ; Episode Return:  -131.0 ; win rate(controlled & opponent):  0.61 0.22 ; Trained episode: 10
Episode:  19 controlled agent:  1 ; Episode Return:  -97.0 ; win rate(controlled & opponent):  0.58 0.26 ; Trained episode: 11
Episode:  20 controlled agent:  1 ; Episode Return:  -168.0 ; win rate(controlled & opponent):  0.55 0.30 ; Trained episode: 11
Episode:  21 controlled agent:  1 ; Episode Return:  -132.0 ; win rate(controlled & opponent):  0.52 0.33 ; Trained episode: 11
Episode:  22 controlled agent:  1 ; Episode Return:  -187.0 ; win rate(controlled & opponent):  0.50 0.36 ; Trained episode: 11
Episode:  23 controlled agent:  1 ; Episode Return:  -397.0 ; win rate(controlled & opponent):  0.48 0.39 ; Trained episode: 11
